Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)	Absolute acceleration (m/s^2)
3.12998975	-0.759969635	2.500250702	9.229956207	9.592752421
3.13998075	-0.791254578	2.484832764	9.220525818	9.582200897
3.14997175	-0.85187851	2.387684784	9.218280487	9.560514147
3.15996275	-0.963995361	2.278561707	9.183552704	9.510981588
3.16995375	-1.110241241	2.230062561	9.188342743	9.520055515
3.17994375	-1.234931946	2.231110382	9.2366922	9.582243643
3.18993475	-1.287322998	2.26299408	9.297316132	9.654969185
3.19992575	-1.243913269	2.322121124	9.321416016	9.686504182
3.20991675	-1.204545135	2.431842957	9.290580139	9.67882578
3.21990775	-1.190923462	2.559377747	9.175020447	9.599464222
3.22989875	-1.175505524	2.65607666	8.974736938	9.433051446
3.23988975	-1.205592957	2.726729736	8.730894012	9.225888558
3.24988075	-1.268013153	2.786305847	8.534053345	9.066500103
3.25987075	-1.329385529	2.841990051	8.465196533	9.027941387
3.26986175	-1.400936737	2.918630676	8.488398285	9.084818887
3.27985275	-1.420545959	2.975961456	8.639733582	9.247664233
3.28984375	-1.44973526	3.045267334	8.861422577	9.481571365
3.29983475	-1.506916351	3.105142822	9.062005463	9.697043459
3.30982575	-1.615590363	3.1253508	9.175170135	9.826581138
3.31981675	-1.71184021	3.137475586	9.254505157	9.92068625
3.32980675	-1.759441223	3.157084808	9.278455353	9.957537428
3.33979775	-1.746268616	3.210972748	9.328451385	10.01897227
3.34978875	-1.742825775	3.260220337	9.400301971	10.10109675
3.35977975	-1.766626282	3.295546875	9.518406372	10.22651737
3.36977075	-1.754800873	3.281925201	9.696835327	10.38648037
3.37976175	-1.726958771	3.29494812	9.832602997	10.51280892
3.38975275	-1.737886047	3.31021637	9.97495697	10.65258405
3.39974275	-1.7305513	3.291804657	10.12464569	10.78606676
3.40973375	-1.694027252	3.260819092	10.29753616	10.93352279
3.41972475	-1.663790131	3.206631775	10.46324158	11.06933192
3.42971575	-1.656455383	3.126398621	10.59571609	11.17082863
3.43970675	-1.611848145	3.053500214	10.62984512	11.17656143
